Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type,Goal_assist
04-05,LaLiga,34,01-05-05,H,FC Barcelona,Albacete Balompie,2:00,CF,90+1,Left-footed shot,Ronaldinho Gaacho
05-06,UEFA Champions League,Group Stage,02-11-05,H,FC Barcelona,Panathinaikos Athens,5:00,RW,34,Left-footed shot,
05-06,LaLiga,13,27-11-05,H,FC Barcelona,Racing Santander,4:01,RW,51,Left-footed shot,Samuel Etoo
05-06,LaLiga,19,15-01-06,H,FC Barcelona,Athletic Bilbao,2:01,RW,50,Left-footed shot,Mark van Bommel
05-06,LaLiga,20,22-01-06,H,FC Barcelona,Deportivo Alaves,2:00,CF,82,Left-footed shot,Ronaldinho Gaacho
05-06,LaLiga,21,29-01-06,A,FC Barcelona,RCD Mallorca,0:03,CF,75,Right-footed shot,Sylvinho
05-06,LaLiga,21,29-01-06,A,FC Barcelona,RCD Mallorca,0:03,CF,83,Left-footed shot,Ronaldinho Gaacho
05-06,Copa del Rey,Quarter-Finals,01-02-06,H,FC Barcelona,Real Zaragoza,2:01,CF,42,Header,Ludovic Giuly
05-06,LaLiga,24,18-02-06,H,FC Barcelona,Real Betis Balompie,5:01,RW,84,Left-footed shot,
06-07,LaLiga,1,28-08-06,A,FC Barcelona,Celta de Vigo,2:03,LW,59,Left-footed shot,Andres Iniesta
06-07,LaLiga,2,09-09-06,H,FC Barcelona,CA Osasuna,3:00,RW,36,Left-footed shot,Samuel Etoo
06-07,UEFA Champions League,Group Stage,27-09-06,A,FC Barcelona,SV Werder Bremen,1:01,RW,89,Left-footed shot,Deco
06-07,LaLiga,6,15-10-06,H,FC Barcelona,Sevilla FC,3:01,RW,80,Right-footed shot,Xavi
06-07,LaLiga,26,10-03-07,H,FC Barcelona,Real Madrid,3:03,RW,11,Left-footed shot,Samuel Etoo
06-07,LaLiga,26,10-03-07,H,FC Barcelona,Real Madrid,3:03,RW,28,Left-footed shot,
06-07,LaLiga,26,10-03-07,H,FC Barcelona,Real Madrid,3:03,RW,90+1,Left-footed shot,Ronaldinho Gaacho
06-07,LaLiga,27,17-03-07,A,FC Barcelona,Recreativo Huelva,0:04,RW,86,Left-footed shot,
06-07,LaLiga,28,31-03-07,H,FC Barcelona,Deportivo de La Coruaa,2:01,RW,45,Left-footed shot,Ronaldinho Gaacho
06-07,Copa del Rey,Semi-Finals,18-04-07,H,FC Barcelona,Getafe CF,5:02,RW,29,Solo run,Xavi
06-07,Copa del Rey,Semi-Finals,18-04-07,H,FC Barcelona,Getafe CF,5:02,RW,45,Left-footed shot,Deco
06-07,LaLiga,35,20-05-07,A,FC Barcelona,Atletico de Madrid,0:06,RW,39,Left-footed shot,Samuel Etoo
06-07,LaLiga,35,20-05-07,A,FC Barcelona,Atletico de Madrid,0:06,RW,80,Left-footed shot,Giovanni van Bronckhorst
06-07,LaLiga,37,09-06-07,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,43,,Gianluca Zambrotta
06-07,LaLiga,37,09-06-07,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,57,Right-footed shot,Deco
06-07,LaLiga,38,17-06-07,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,34,Left-footed shot,Deco
06-07,LaLiga,38,17-06-07,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,51,Left-footed shot,Deco
07-08,UEFA Champions League,Group Stage,19-09-07,H,FC Barcelona,Olympique Lyon,3:00,RW,82,Left-footed shot,Andres Iniesta
07-08,LaLiga,4,22-09-07,H,FC Barcelona,Sevilla FC,2:01,RW,72,Left-footed shot,Thierry Henry
07-08,LaLiga,4,22-09-07,H,FC Barcelona,Sevilla FC,2:01,RW,79,Penalty,
07-08,LaLiga,5,26-09-07,H,FC Barcelona,Real Zaragoza,4:01,RW,5,Left-footed shot,Thierry Henry
07-08,LaLiga,5,26-09-07,H,FC Barcelona,Real Zaragoza,4:01,RW,10,Left-footed shot,Deco
07-08,LaLiga,6,29-09-07,A,FC Barcelona,Levante UD,1:04,RW,50,Left-footed shot,Deco
07-08,UEFA Champions League,Group Stage,02-10-07,A,FC Barcelona,VfB Stuttgart,0:02,RW,66,Deflected shot on goal,Thierry Henry
07-08,LaLiga,7,07-10-07,H,FC Barcelona,Atletico de Madrid,3:00,RW,19,Left-footed shot,Ronaldinho Gaacho
07-08,LaLiga,9,28-10-07,H,FC Barcelona,UD Almera,2:00,RW,80,Penalty,
07-08,UEFA Champions League,Group Stage,07-11-07,H,FC Barcelona,Rangers FC,2:00,RW,41,Left-footed shot,Ronaldinho Gaacho
07-08,LaLiga,13,24-11-07,H,FC Barcelona,Recreativo Huelva,3:00,RW,81,Penalty,
07-08,UEFA Champions League,Group Stage,27-11-07,A,FC Barcelona,Olympique Lyon,2:02,RW,58,Penalty,
07-08,UEFA Champions League,last 16,20-02-08,A,FC Barcelona,Celtic FC,2:03,RW,18,Left-footed shot,Deco
07-08,UEFA Champions League,last 16,20-02-08,A,FC Barcelona,Celtic FC,2:03,RW,79,Left-footed shot,
07-08,LaLiga,25,24-02-08,H,FC Barcelona,Levante UD,5:01,RW,44,Left-footed shot,Xavi
07-08,LaLiga,35,04-05-08,H,FC Barcelona,Valencia CF,6:00,RW,5,Penalty,
08-09,LaLiga,2,13-09-08,H,FC Barcelona,Racing Santander,1:01,RW,70,Penalty,
08-09,LaLiga,3,21-09-08,A,FC Barcelona,Sporting Gijón,1:06,RW,85,Left-footed shot,Andres Iniesta
08-09,LaLiga,3,21-09-08,A,FC Barcelona,Sporting Gijón,1:06,RW,89,Header,Xavi
08-09,LaLiga,5,27-09-08,A,FC Barcelona,RCD Espanyol Barcelona,1:02,RW,90,Penalty,
08-09,UEFA Champions League,Group Stage,01-10-08,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,87,Right-footed shot,Bojan Krkic
08-09,UEFA Champions League,Group Stage,01-10-08,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,90+2,Left-footed shot,Xavi
08-09,LaLiga,6,04-10-08,H,FC Barcelona,Atletico de Madrid,6:01,RW,8,Direct free kick,
08-09,UEFA Champions League,Group Stage,22-10-08,A,FC Barcelona,FC Basel 1893,0:05,CF,4,Left-footed shot,Dani Alves
08-09,LaLiga,9,01-11-08,A,FC Barcelona,Malaga CF,1:04,RW,19,Left-footed shot,
08-09,UEFA Champions League,Group Stage,04-11-08,H,FC Barcelona,FC Basel 1893,1:01,RW,61,Left-footed shot,Thierry Henry
08-09,Copa del Rey,Fifth Round,12-11-08,H,FC Barcelona,Benidorm CD,1:00,RW,86,Penalty rebound,
08-09,LaLiga,11,16-11-08,A,FC Barcelona,Recreativo Huelva,0:02,RW,51,Left-footed shot,Xavi
08-09,UEFA Champions League,Group Stage,26-11-08,A,FC Barcelona,Sporting CP,2:05,RW,49,Left-footed shot,Dani Alves
08-09,LaLiga,13,29-11-08,A,FC Barcelona,Sevilla FC,0:03,RW,78,Left-footed shot,Xavi
08-09,LaLiga,13,29-11-08,A,FC Barcelona,Sevilla FC,0:03,RW,90+2,Left-footed shot,Aleksandr Hleb
08-09,LaLiga,15,13-12-08,H,FC Barcelona,Real Madrid,2:00,RW,89,Counter attack goal,Thierry Henry
08-09,Copa del Rey,Round of 16,06-01-09,A,FC Barcelona,Atletico de Madrid,1:03,RW,11,Left-footed shot,Dani Alves
08-09,Copa del Rey,Round of 16,06-01-09,A,FC Barcelona,Atletico de Madrid,1:03,RW,57,Penalty,
08-09,Copa del Rey,Round of 16,06-01-09,A,FC Barcelona,Atletico de Madrid,1:03,RW,79,Right-footed shot,Andres Iniesta
08-09,LaLiga,18,11-01-09,A,FC Barcelona,CA Osasuna,2:03,RW,84,Left-footed shot,Dani Alves
08-09,LaLiga,19,17-01-09,H,FC Barcelona,Deportivo de La Coruaa,5:00,RW,21,Left-footed shot,
08-09,LaLiga,20,24-01-09,H,FC Barcelona,CD Numancia,4:01,RW,49,Left-footed shot,Dani Alves
08-09,LaLiga,20,24-01-09,H,FC Barcelona,CD Numancia,4:01,RW,76,Right-footed shot,
08-09,LaLiga,21,01-02-09,A,FC Barcelona,Racing Santander,1:02,RW,65,Right-footed shot,Xavi
08-09,LaLiga,21,01-02-09,A,FC Barcelona,Racing Santander,1:02,RW,81,Right-footed shot,
08-09,LaLiga,25,01-03-09,A,FC Barcelona,Atletico de Madrid,4:03,RW,30,Left-footed shot,
08-09,Copa del Rey,Semi-Finals,04-03-09,A,FC Barcelona,RCD Mallorca,1:01,RW,81,Left-footed shot,Gerard Pique
08-09,LaLiga,26,07-03-09,H,FC Barcelona,Athletic Bilbao,2:00,RW,31,Penalty,
08-09,UEFA Champions League,last 16,11-03-09,H,FC Barcelona,Olympique Lyon,5:02,RW,40,Left-footed shot,Samuel Etoo
08-09,LaLiga,28,22-03-09,H,FC Barcelona,Malaga CF,6:00,RW,26,Right-footed shot,Xavi
08-09,UEFA Champions League,Quarter-Finals,08-04-09,H,FC Barcelona,Bayern Munich,4:00,RW,9,Left-footed shot,Samuel Etoo
08-09,UEFA Champions League,Quarter-Finals,08-04-09,H,FC Barcelona,Bayern Munich,4:00,RW,38,Right-footed shot,Thierry Henry
08-09,LaLiga,31,18-04-09,A,FC Barcelona,Getafe CF,0:01,RW,18,Left-footed shot,Xavi
08-09,LaLiga,33,25-04-09,A,FC Barcelona,Valencia CF,2:02,RW,23,Left-footed shot,Andres Iniesta
08-09,LaLiga,34,02-05-09,A,FC Barcelona,Real Madrid,2:06,CF,35,Left-footed shot,Xavi
08-09,LaLiga,34,02-05-09,A,FC Barcelona,Real Madrid,2:06,CF,75,Left-footed shot,Xavi
08-09,Copa del Rey,Final,13-05-09,H,FC Barcelona,Athletic Bilbao,4:01,RW,55,Left-footed shot,Samuel Etoo
08-09,UEFA Champions League,Final,27-05-09,H,FC Barcelona,Manchester United,2:00,CF,70,Header,Xavi
09-10,Supercopa,final,23-08-09,H,FC Barcelona,Athletic Bilbao,3:00,RW,50,Right-footed shot,Zlatan Ibrahimovic
09-10,Supercopa,final,23-08-09,H,FC Barcelona,Athletic Bilbao,3:00,RW,68,Penalty,
09-10,LaLiga,2,12-09-09,A,FC Barcelona,Getafe CF,0:02,RW,78,Header,Zlatan Ibrahimovic
09-10,LaLiga,3,19-09-09,H,FC Barcelona,Atletico de Madrid,5:02,RW,15,Left-footed shot,Xavi
09-10,LaLiga,3,19-09-09,H,FC Barcelona,Atletico de Madrid,5:02,RW,90+3,Right-footed shot,Dani Alves
09-10,LaLiga,4,22-09-09,A,FC Barcelona,Racing Santander,1:04,RW,23,Left-footed shot,Xavi
09-10,LaLiga,4,22-09-09,A,FC Barcelona,Racing Santander,1:04,RW,63,Left-footed shot,Xavi
09-10,UEFA Champions League,Group Stage,29-09-09,H,FC Barcelona,Dynamo Kyiv,2:00,RW,25,Left-footed shot,Andres Iniesta
09-10,LaLiga,8,25-10-09,H,FC Barcelona,Real Zaragoza,6:01,RW,80,Left-footed shot,Andres Iniesta
09-10,LaLiga,10,07-11-09,H,FC Barcelona,RCD Mallorca,4:02,RW,86,Penalty,
09-10,Copa del Rey,5th round,10-11-09,H,FC Barcelona,Cultural Leonesa,5:00,RW,64,Left-footed shot,Pedro
09-10,LaLiga,13,05-12-09,A,FC Barcelona,Deportivo de La Coruaa,1:03,RW,26,Left-footed shot,Dani Alves
09-10,LaLiga,13,05-12-09,A,FC Barcelona,Deportivo de La Coruaa,1:03,RW,80,Header,Pedro
09-10,UEFA Champions League,Group Stage,09-12-09,A,FC Barcelona,Dynamo Kyiv,1:02,RW,86,Direct free kick,
09-10,FIFA Club World Cup,Semi-Finals,16-12-09,A,FC Barcelona,CF Atlante,1:03,RW,55,Left-footed shot,Zlatan Ibrahimovic
09-10,FIFA Club World Cup,Final,19-12-09,A,FC Barcelona,Club Estudiantes de La Plata,1:2 AET,RW,110,Chest,Dani Alves
09-10,LaLiga,17,10-01-10,A,FC Barcelona,CD Tenerife,0:05,RW,36,Left-footed shot,Bojan Krkic
09-10,LaLiga,17,10-01-10,A,FC Barcelona,CD Tenerife,0:05,RW,45,Right-footed shot,Bojan Krkic
09-10,LaLiga,17,10-01-10,A,FC Barcelona,CD Tenerife,0:05,RW,75,Left-footed shot,Bojan Krkic
09-10,LaLiga,18,16-01-10,H,FC Barcelona,Sevilla FC,4:00,RW,85,Left-footed shot,Dani Alves
09-10,LaLiga,18,16-01-10,H,FC Barcelona,Sevilla FC,4:00,RW,90+1,Left-footed shot,Éric Abidal
09-10,LaLiga,19,23-01-10,A,FC Barcelona,Real Valladolid CF,0:03,RW,54,Left-footed shot,Zlatan Ibrahimovic
09-10,LaLiga,21,06-02-10,H,FC Barcelona,Getafe CF,2:01,RW,7,Left-footed shot,Yaya Toure
09-10,LaLiga,24,27-02-10,H,FC Barcelona,Malaga CF,2:01,RW,84,Right-footed shot,Dani Alves
09-10,LaLiga,25,06-03-10,A,FC Barcelona,UD Almera,2:02,RW,42,Direct free kick,
09-10,LaLiga,25,06-03-10,A,FC Barcelona,UD Almera,2:02,RW,66,Left-footed shot,
09-10,LaLiga,26,14-03-10,H,FC Barcelona,Valencia CF,3:00,CF,56,Left-footed shot,Xavi
09-10,LaLiga,26,14-03-10,H,FC Barcelona,Valencia CF,3:00,CF,80,Left-footed shot,Thierry Henry
09-10,LaLiga,26,14-03-10,H,FC Barcelona,Valencia CF,3:00,CF,82,Right-footed shot,Thierry Henry
09-10,UEFA Champions League,last 16,17-03-10,H,FC Barcelona,VfB Stuttgart,4:00,CF,13,Left-footed shot,Yaya Toure
09-10,UEFA Champions League,last 16,17-03-10,H,FC Barcelona,VfB Stuttgart,4:00,CF,56,Left-footed shot,Dani Alves
09-10,LaLiga,27,21-03-10,A,FC Barcelona,Real Zaragoza,2:04,RW,4,Header,Pedro
09-10,LaLiga,27,21-03-10,A,FC Barcelona,Real Zaragoza,2:04,RW,65,Left-footed shot,
09-10,LaLiga,27,21-03-10,A,FC Barcelona,Real Zaragoza,2:04,RW,78,Left-footed shot,Andres Iniesta
09-10,LaLiga,30,03-04-10,H,FC Barcelona,Athletic Bilbao,4:01,CF,67,Left-footed shot,Pedro
09-10,UEFA Champions League,Quarter-Finals,06-04-10,H,FC Barcelona,Arsenal FC,4:01,CF,21,Left-footed shot,
09-10,UEFA Champions League,Quarter-Finals,06-04-10,H,FC Barcelona,Arsenal FC,4:01,CF,37,Right-footed shot,Pedro
09-10,UEFA Champions League,Quarter-Finals,06-04-10,H,FC Barcelona,Arsenal FC,4:01,CF,42,Left-footed shot,Seydou Keita
09-10,UEFA Champions League,Quarter-Finals,06-04-10,H,FC Barcelona,Arsenal FC,4:01,CF,88,Left-footed shot,Xavi
09-10,LaLiga,31,10-04-10,A,FC Barcelona,Real Madrid,0:02,CF,32,Right-footed shot,Xavi
09-10,LaLiga,35,01-05-10,A,FC Barcelona,Villarreal CF,1:04,RW,18,Left-footed shot,Xavi
09-10,LaLiga,35,01-05-10,A,FC Barcelona,Villarreal CF,1:04,RW,87,Left-footed shot,Dani Alves
09-10,LaLiga,36,04-05-10,H,FC Barcelona,CD Tenerife,4:01,RW,16,Right-footed shot,Zlatan Ibrahimovic
09-10,LaLiga,36,04-05-10,H,FC Barcelona,CD Tenerife,4:01,RW,90+3,Right-footed shot,Dani Alves
09-10,LaLiga,37,08-05-10,A,FC Barcelona,Sevilla FC,2:03,RW,5,Left-footed shot,Maxwell
09-10,LaLiga,38,16-05-10,H,FC Barcelona,Real Valladolid CF,4:00,RW,61,Right-footed shot,Yaya Toure
09-10,LaLiga,38,16-05-10,H,FC Barcelona,Real Valladolid CF,4:00,RW,74,Left-footed shot,Yaya Toure
10-11,Supercopa,final,21-08-10,H,FC Barcelona,Sevilla FC,4:00,RW,25,Left-footed shot,Xavi
10-11,Supercopa,final,21-08-10,H,FC Barcelona,Sevilla FC,4:00,RW,43,Right-footed shot,Dani Alves
10-11,Supercopa,final,21-08-10,H,FC Barcelona,Sevilla FC,4:00,RW,90+1,Left-footed shot,Andres Iniesta
10-11,LaLiga,1,29-08-10,A,FC Barcelona,Racing Santander,0:03,RW,3,Left-footed shot,Andres Iniesta
10-11,UEFA Champions League,Group Stage,14-09-10,H,FC Barcelona,Panathinaikos Athens,5:01,CF,22,Left-footed shot,Xavi
10-11,UEFA Champions League,Group Stage,14-09-10,H,FC Barcelona,Panathinaikos Athens,5:01,CF,45,Left-footed shot,Pedro
10-11,LaLiga,3,19-09-10,A,FC Barcelona,Atletico de Madrid,1:02,CF,12,Left-footed shot,Pedro
10-11,LaLiga,6,03-10-10,H,FC Barcelona,RCD Mallorca,1:01,CF,20,Left-footed shot,Pedro
10-11,UEFA Champions League,Group Stage,20-10-10,H,FC Barcelona,FC Copenhagen,2:00,CF,18,Left-footed shot,Andres Iniesta
10-11,UEFA Champions League,Group Stage,20-10-10,H,FC Barcelona,FC Copenhagen,2:00,CF,90+1,Left-footed shot,Éric Abidal
10-11,LaLiga,8,23-10-10,A,FC Barcelona,Real Zaragoza,0:02,CF,41,Left-footed shot,David Villa
10-11,LaLiga,8,23-10-10,A,FC Barcelona,Real Zaragoza,0:02,CF,65,Left-footed shot,
10-11,LaLiga,9,30-10-10,H,FC Barcelona,Sevilla FC,5:00,RW,4,Left-footed shot,
10-11,LaLiga,9,30-10-10,H,FC Barcelona,Sevilla FC,5:00,RW,63,Left-footed shot,
10-11,UEFA Champions League,Group Stage,02-11-10,A,FC Barcelona,FC Copenhagen,1:01,CF,31,Right-footed shot,
10-11,LaLiga,10,07-11-10,A,FC Barcelona,Getafe CF,1:03,CF,23,Left-footed shot,David Villa
10-11,Copa del Rey,4th round,10-11-10,H,FC Barcelona,Club Atletico de Ceuta,5:01,RW,67,Left-footed shot,Thiago
10-11,LaLiga,11,13-11-10,H,FC Barcelona,Villarreal CF,3:01,CF,58,Right-footed shot,Pedro
10-11,LaLiga,11,13-11-10,H,FC Barcelona,Villarreal CF,3:01,CF,83,Left-footed shot,Pedro
10-11,LaLiga,12,20-11-10,A,FC Barcelona,UD Almera,0:08,CF,16,Left-footed shot,David Villa
10-11,LaLiga,12,20-11-10,A,FC Barcelona,UD Almera,0:08,CF,36,Tap-in,
10-11,LaLiga,12,20-11-10,A,FC Barcelona,UD Almera,0:08,CF,67,Tap-in,David Villa
10-11,UEFA Champions League,Group Stage,24-11-10,A,FC Barcelona,Panathinaikos Athens,0:03,CF,63,Left-footed shot,Adriano
10-11,LaLiga,14,04-12-10,A,FC Barcelona,CA Osasuna,0:03,CF,64,Left-footed shot,David Villa
10-11,LaLiga,14,04-12-10,A,FC Barcelona,CA Osasuna,0:03,CF,82,Penalty,
10-11,LaLiga,15,12-12-10,H,FC Barcelona,Real Sociedad,5:00,CF,46,Left-footed shot,Dani Alves
10-11,LaLiga,15,12-12-10,H,FC Barcelona,Real Sociedad,5:00,CF,86,Left-footed shot,Bojan Krkic
10-11,LaLiga,18,08-01-11,A,FC Barcelona,Deportivo de La Coruaa,0:04,CF,51,Direct free kick,
10-11,Copa del Rey,Quarter-Finals,12-01-11,H,FC Barcelona,Real Betis Balompie,5:00,CF,44,Left-footed shot,Andres Iniesta
10-11,Copa del Rey,Quarter-Finals,12-01-11,H,FC Barcelona,Real Betis Balompie,5:00,CF,63,Left-footed shot,
10-11,Copa del Rey,Quarter-Finals,12-01-11,H,FC Barcelona,Real Betis Balompie,5:00,CF,73,Left-footed shot,Xavi
10-11,Copa del Rey,Quarter-Finals,19-01-11,A,FC Barcelona,Real Betis Balompie,3:01,RW,37,Left-footed shot,Xavi
10-11,LaLiga,20,22-01-11,H,FC Barcelona,Racing Santander,3:00,CF,33,Penalty,
10-11,Copa del Rey,Semi-Finals,26-01-11,H,FC Barcelona,UD Almera,5:00,CF,9,Left-footed shot,Pedro
10-11,Copa del Rey,Semi-Finals,26-01-11,H,FC Barcelona,UD Almera,5:00,CF,15,Left-footed shot,Andres Iniesta
10-11,LaLiga,21,29-01-11,A,FC Barcelona,Hercules CF,0:03,CF,87,Left-footed shot,Dani Alves
10-11,LaLiga,21,29-01-11,A,FC Barcelona,Hercules CF,0:03,CF,89,Left-footed shot,Dani Alves
10-11,LaLiga,22,05-02-11,H,FC Barcelona,Atletico de Madrid,3:00,CF,16,Left-footed shot,Dani Alves
10-11,LaLiga,22,05-02-11,H,FC Barcelona,Atletico de Madrid,3:00,CF,28,Left-footed shot,Pedro
10-11,LaLiga,22,05-02-11,H,FC Barcelona,Atletico de Madrid,3:00,CF,78,Left-footed shot,David Villa
10-11,LaLiga,24,20-02-11,H,FC Barcelona,Athletic Bilbao,2:01,CF,78,Right-footed shot,Dani Alves
10-11,LaLiga,25,26-02-11,A,FC Barcelona,RCD Mallorca,0:03,CF,38,Header,Seydou Keita
10-11,LaLiga,26,02-03-11,A,FC Barcelona,Valencia CF,0:01,CF,77,Left-footed shot,Adriano
10-11,UEFA Champions League,last 16,08-03-11,H,FC Barcelona,Arsenal FC,3:01,RW,49,Left-footed shot,Andres Iniesta
10-11,UEFA Champions League,last 16,08-03-11,H,FC Barcelona,Arsenal FC,3:01,RW,72,Penalty,
10-11,LaLiga,31,09-04-11,H,FC Barcelona,UD Almera,3:01,CF,52,Penalty,
